x_m,reference_z_m,sampled_5m_z_m,sampled_10m_z_m,sampled_30m_z_m
164.500000000,1.555622558,1.543991731,1.384769433,0.509575254
165.000000000,1.604982421,1.604982421,1.428068757,0.527146814
165.500000000,1.650634648,1.630590379,1.471368081,0.544718375
166.000000000,1.692327208,1.656198337,1.514667405,0.562289935
166.500000000,1.729830527,1.681806294,1.557966729,0.579861496
167.000000000,1.762938881,1.707414252,1.601266053,0.597433056
167.500000000,1.791471647,1.733022209,1.644565377,0.615004617
168.000000000,1.815274403,1.758630167,1.687864701,0.632576177
168.500000000,1.834219870,1.784238125,1.731164025,0.650147738
169.000000000,1.848208685,1.809846082,1.774463349,0.667719298
169.500000000,1.857170017,1.835454040,1.817762673,0.685290859
170.000000000,1.861061998,1.861061998,1.861061998,0.702862419
170.500000000,1.859871988,1.838221973,1.820723579,0.720433980
171.000000000,1.853616659,1.815381949,1.780385161,0.738005540
171.500000000,1.842341902,1.792541925,1.740046742,0.755577101
172.000000000,1.826122561,1.769701900,1.699708324,0.773148661
172.500000000,1.805061985,1.746861876,1.659369905,0.790720222
173.000000000,1.779291415,1.724021852,1.619031487,0.808291782
173.500000000,1.748969201,1.701181827,1.578693068,0.825863343
174.000000000,1.714279847,1.678341803,1.538354650,0.843434903
174.500000000,1.675432914,1.655501779,1.498016232,0.861006463
175.000000000,1.632661754,1.632661754,1.457677813,0.878578024
175.500000000,1.586222117,1.574824942,1.417339395,0.896149584
176.000000000,1.536390607,1.516988129,1.377000976,0.913721145
176.500000000,1.483463027,1.459151317,1.336662558,0.931292705
177.000000000,1.427752601,1.401314504,1.296324139,0.948864266
177.500000000,1.369588091,1.343477692,1.255985721,0.966435826
178.000000000,1.309311824,1.285640879,1.215647302,0.984007387
178.500000000,1.247277638,1.227804066,1.175308884,1.001578947
179.000000000,1.183848757,1.169967254,1.134970466,1.019150508
179.500000000,1.119395614,1.112130441,1.094632047,1.036722068
180.000000000,1.054293629,1.054293629,1.054293629,1.054293629
180.500000000,0.988920960,0.993788939,1.008850106,1.062561196
181.000000000,0.923656241,0.933284250,0.963406584,1.070828763
181.500000000,0.858876317,0.872779560,0.917963062,1.079096331
182.000000000,0.794953989,0.812274870,0.872519539,1.087363898
182.500000000,0.732255795,0.751770181,0.827076017,1.095631465
183.000000000,0.671139820,0.691265491,0.781632494,1.103899032
183.500000000,0.611953571,0.630760802,0.736188972,1.112166600
184.000000000,0.555031907,0.570256112,0.690745450,1.120434167
184.500000000,0.500695059,0.509751423,0.645301927,1.128701734
185.000000000,0.449246733,0.449246733,0.599858405,1.136969301
185.500000000,0.400972322,0.418864378,0.554414883,1.145236869
186.000000000,0.356137228,0.388482023,0.508971360,1.153504436
186.500000000,0.314985311,0.358099667,0.463527838,1.161772003
187.000000000,0.277737466,0.327717312,0.418084315,1.170039570
187.500000000,0.244590351,0.297334957,0.372640793,1.178307138
188.000000000,0.215715254,0.266952602,0.327197271,1.186574705
188.500000000,0.191257126,0.236570247,0.281753748,1.194842272
189.000000000,0.171333771,0.206187892,0.236310226,1.203109839
189.500000000,0.156035204,0.175805536,0.190866704,1.211377407
190.000000000,0.145423181,0.145423181,0.145423181,1.219644974
190.500000000,0.139530904,0.159918492,0.176785439,1.227912541
191.000000000,0.138362898,0.174413802,0.208147696,1.236180109
191.500000000,0.141895065,0.188909112,0.239509954,1.244447676
192.000000000,0.150074918,0.203404423,0.270872211,1.252715243
192.500000000,0.162821982,0.217899733,0.302234469,1.260982810
193.000000000,0.180028372,0.232395044,0.333596726,1.269250378
193.500000000,0.201559537,0.246890354,0.364958984,1.277517945
194.000000000,0.227255164,0.261385665,0.396321241,1.285785512
194.500000000,0.256930244,0.275880975,0.427683499,1.294053079
195.000000000,0.290376285,0.290376285,0.459045756,1.302320647
195.500000000,0.327362671,0.338605490,0.490408014,1.310588214
196.000000000,0.367638152,0.386834695,0.521770271,1.318855781
196.500000000,0.410932461,0.435063899,0.553132529,1.327123348
197.000000000,0.456958047,0.483293104,0.584494786,1.335390916
197.500000000,0.505411909,0.531522308,0.615857044,1.343658483
198.000000000,0.555977528,0.579751513,0.647219301,1.351926050
198.500000000,0.608326874,0.627980718,0.678581559,1.360193617
199.000000000,0.662122484,0.676209922,0.709943816,1.368461185
199.500000000,0.717019598,0.724439127,0.741306074,1.376728752
200.000000000,0.772668332,0.772668332,0.772668332,1.384996319
200.500000000,0.828715882,0.824828307,0.811552298,1.393263886
201.000000000,0.884808748,0.876988283,0.850436265,1.401531454
